DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P10000;P400;P401;P402;P403;P404;P406S2;P407S2;P408;P4900;P807;P809;P809S1;P420;P171;P6850;P5971;P5971S1;P5971S1A1;P5971S2;P5971S2A1;P5971S3;P5971S3A1;P5971S4;P5971S4A1;P5971S5;P5971S5A1;P5971S6;P5971S6A1;P5971S7;P5971S7A1;P5971S8;P5971S8A1;P5971S9;P5971S9A1;P5971S10;P5971S10A1
7247487;3;1;3;170,032892414045;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247490;3;1;3;179,744807528885;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247493;5;1;5;205,156950247354;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247495;6;1;6;193,234376125013;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247495;7;1;7;193,234376125013;7;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247498;3;1;3;344,30765885671;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247501;3;1;3;41,4650330995414;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; 
7247501;4;1;4;41,4650330995414;4;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247501;7;1;7;41,4650330995414;7;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247503;4;1;4;322,303298043291;4;4;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247503;5;1;5;322,303298043291;5;4;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247504;5;1;5;38,5187191837898;2;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247504;6;1;6;38,5187191837898;2;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247505;4;1;4;259,712791953217;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
