P6020,P6040,P5502,P6071,P6080,P1895,P1896,P1897,P1898,P1899,P3175,prom_satisfaccion,num_ninxs,num_adultxs,num_abuelxs,P6160,P8586,P8587,P6090,P6100,P8551,P799S2,P799S3,P799S1,P799S4,P799S5,P3176,P1930,P3008S1,P3008S2,P1707,P3003,P5452,P6161S1,P6426,P3193,dinero_trabajo,dinero_extra
1,63,6,1,6,2,0,3,8,0,6,3.17,2,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,800000,100000
1,63,6,1,6,2,0,3,8,0,6,3.17,2,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,36,2,0,0
1,63,6,1,6,2,0,3,8,0,6,3.17,2,2,2,1,2,3,1,1,36000,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,800000,100000
1,63,6,1,6,2,0,3,8,0,6,3.17,2,2,2,1,2,3,1,1,36000,2,2,2,2,2,0,2,2,2,1,1,2,0,36,2,0,0
1,63,6,1,6,2,0,3,8,0,6,3.17,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,800000,100000
1,63,6,1,6,2,0,3,8,0,6,3.17,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,36,2,0,0
1,63,6,1,6,2,0,3,8,0,6,3.17,2,2,2,1,2,5,1,1,36000,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,800000,100000
1,63,6,1,6,2,0,3,8,0,6,3.17,2,2,2,1,2,5,1,1,36000,2,2,2,2,2,0,2,2,2,1,1,2,0,36,2,0,0
2,62,6,1,6,5,2,5,8,1,3,4.0,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,62,6,1,6,5,2,5,8,1,3,4.0,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,62,6,1,6,5,2,5,8,1,3,4.0,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,62,6,1,6,5,2,5,8,1,3,4.0,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,62,6,1,6,5,2,5,8,1,3,4.0,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,62,6,1,6,5,2,5,8,1,3,4.0,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,62,6,1,6,5,2,5,8,1,3,4.0,2,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
